merged_idx,logic_id,file_path,label,label_localIndex,source,label_globalIndex,is_overlap,predict_global_label_A,predict_global_label_B
0,0,Fruit/party_A/dataset_split/val/apple/Image_38.jpg,apple,0,1,0,1,0,0
1,1,Fruit/party_A/dataset_split/val/apple/Image_62.jpg,apple,0,1,0,1,0,0
2,2,Fruit/party_A/dataset_split/val/apple/Image_63.jpg,apple,0,1,0,1,0,0
3,3,Fruit/party_A/dataset_split/val/apple/Image_9.jpg,apple,0,1,0,1,0,0
4,4,Fruit/party_A/dataset_split/val/apple/Image_60.jpg,apple,0,1,0,1,0,0
5,5,Fruit/party_A/dataset_split/val/apple/Image_59.png,apple,0,1,0,1,0,1
6,6,Fruit/party_A/dataset_split/val/apple/Image_57.jpg,apple,0,1,0,1,9,0
7,7,Fruit/party_A/dataset_split/val/apple/Image_40.jpg,apple,0,1,0,1,0,0
8,8,Fruit/party_A/dataset_split/val/apple/Image_92.png,apple,0,1,0,1,0,0
9,9,Fruit/party_A/dataset_split/val/apple/Image_78.jpg,apple,0,1,0,1,9,0
10,10,Fruit/party_A/dataset_split/val/apple/Image_7.jpg,apple,0,1,0,1,0,7
11,11,Fruit/party_A/dataset_split/val/apple/Image_34.jpg,apple,0,1,0,1,0,0
12,12,Fruit/party_A/dataset_split/val/apple/Image_36.jpg,apple,0,1,0,1,0,0
13,13,Fruit/party_A/dataset_split/val/apple/Image_27.jpg,apple,0,1,0,1,0,0
14,14,Fruit/party_A/dataset_split/val/banana/Image_63.jpg,banana,1,1,1,1,10,1
15,15,Fruit/party_A/dataset_split/val/banana/Image_77.jpg,banana,1,1,1,1,4,1
16,16,Fruit/party_A/dataset_split/val/banana/Image_61.png,banana,1,1,1,1,1,1
17,17,Fruit/party_A/dataset_split/val/banana/Image_75.jpg,banana,1,1,1,1,11,1
18,18,Fruit/party_A/dataset_split/val/banana/Image_48.png,banana,1,1,1,1,1,1
19,19,Fruit/party_A/dataset_split/val/banana/Image_71.jpg,banana,1,1,1,1,1,1
20,20,Fruit/party_A/dataset_split/val/banana/Image_67.jpg,banana,1,1,1,1,10,1
21,21,Fruit/party_A/dataset_split/val/banana/Image_72.jpg,banana,1,1,1,1,1,1
22,22,Fruit/party_A/dataset_split/val/banana/Image_43.png,banana,1,1,1,1,1,1
23,23,Fruit/party_A/dataset_split/val/banana/Image_3.jpg,banana,1,1,1,1,1,1
24,24,Fruit/party_A/dataset_split/val/banana/Image_97.jpg,banana,1,1,1,1,1,1
25,25,Fruit/party_A/dataset_split/val/banana/Image_92.jpg,banana,1,1,1,1,9,1
26,26,Fruit/party_A/dataset_split/val/banana/Image_91.jpg,banana,1,1,1,1,1,1
27,27,Fruit/party_A/dataset_split/val/banana/Image_47.jpg,banana,1,1,1,1,11,1
28,28,Fruit/party_A/dataset_split/val/banana/Image_6.jpg,banana,1,1,1,1,1,1
64,64,Fruit/party_A/dataset_split/val/cucumber/Image_28.jpg,cucumber,4,1,4,1,4,4
65,65,Fruit/party_A/dataset_split/val/cucumber/Image_16.jpg,cucumber,4,1,4,1,4,4
66,66,Fruit/party_A/dataset_split/val/cucumber/Image_76.JPG,cucumber,4,1,4,1,4,4
67,67,Fruit/party_A/dataset_split/val/cucumber/Image_88.jpg,cucumber,4,1,4,1,4,4
68,68,Fruit/party_A/dataset_split/val/cucumber/Image_9.jpg,cucumber,4,1,4,1,4,4
69,69,Fruit/party_A/dataset_split/val/cucumber/Image_59.png,cucumber,4,1,4,1,4,4
70,70,Fruit/party_A/dataset_split/val/cucumber/Image_80.jpeg,cucumber,4,1,4,1,4,4
71,71,Fruit/party_A/dataset_split/val/cucumber/Image_81.jpg,cucumber,4,1,4,1,11,4
72,72,Fruit/party_A/dataset_split/val/cucumber/Image_56.jpg,cucumber,4,1,4,1,4,4
73,73,Fruit/party_A/dataset_split/val/cucumber/Image_54.png,cucumber,4,1,4,1,4,4
74,74,Fruit/party_A/dataset_split/val/cucumber/Image_97.jpg,cucumber,4,1,4,1,4,4
75,75,Fruit/party_A/dataset_split/val/cucumber/Image_96.jpg,cucumber,4,1,4,1,4,4
76,76,Fruit/party_A/dataset_split/val/cucumber/Image_55.png,cucumber,4,1,4,1,4,4
77,77,Fruit/party_A/dataset_split/val/cucumber/Image_86.jpg,cucumber,4,1,4,1,4,4
78,78,Fruit/party_A/dataset_split/val/cucumber/Image_50.JPG,cucumber,4,1,4,1,11,4
79,79,Fruit/party_A/dataset_split/val/cucumber/Image_44.jpg,cucumber,4,1,4,1,4,4
80,80,Fruit/party_A/dataset_split/val/cucumber/Image_47.jpg,cucumber,4,1,4,1,4,4
81,81,Fruit/party_A/dataset_split/val/cucumber/Image_20.jpg,cucumber,4,1,4,1,4,4
82,82,Fruit/party_A/dataset_split/val/cucumber/Image_32.jpg,cucumber,4,1,4,1,4,4
171,0,Fruit/party_B/dataset_split/val/apple/a_f150.png,apple,0,2,0,1,0,0
